date,season,name,pos,team,proj,espn,sleeper,adp
2026-07-22,2026,Bijan Robinson,RB,ATL,350.6,352.5,348.8,1.6
2026-07-22,2026,Jahmyr Gibbs,RB,DET,351.6,365.1,338.1,1.7
2026-07-22,2026,Puka Nacua,WR,LAR,323.9,356.5,291.5,2.8
2026-07-22,2026,Ja'Marr Chase,WR,CIN,329.9,336.1,323.6,3.8
2026-07-22,2026,Christian McCaffrey,RB,SF,332.5,350.4,314.5,5.1
2026-07-22,2026,Jaxon Smith-Njigba,WR,SEA,305.9,326.6,285.3,6.0
2026-07-22,2026,Amon-Ra St. Brown,WR,DET,308.3,324.3,292.4,7.2
2026-07-22,2026,Jonathan Taylor,RB,IND,303.1,308.8,297.5,7.6
2026-07-22,2026,De'Von Achane,RB,MIA,281.5,292.8,270.2,9.6
2026-07-22,2026,Justin Jefferson,WR,MIN,275.0,293.5,256.5,10.4
2026-07-22,2026,CeeDee Lamb,WR,DAL,278.6,294.8,262.4,10.7
2026-07-22,2026,Ashton Jeanty,RB,LV,270.3,281.5,259.0,12.0
2026-07-22,2026,Drake London,WR,ATL,256.8,269.7,243.8,12.9
2026-07-22,2026,A.J. Brown,WR,NE,248.4,248.3,13.7,13.5
2026-07-22,2026,James Cook III,RB,BUF,272.4,279.4,265.4,13.5
2026-07-22,2026,Chase Brown,RB,CIN,264.4,272.3,256.6,16.4
2026-07-22,2026,Derrick Henry,RB,BAL,262.4,274.1,250.8,16.4
2026-07-22,2026,Omarion Hampton,RB,LAC,261.3,279.3,243.3,17.1
2026-07-22,2026,George Pickens,WR,DAL,240.5,239.4,241.6,18.4
2026-07-22,2026,Saquon Barkley,RB,PHI,250.4,273.4,227.3,19.9
2026-07-22,2026,Chris Olave,WR,NO,225.5,244.6,206.3,20.6
2026-07-22,2026,Kenneth Walker III,RB,KC,272.5,272.5,272.5,22.5
2026-07-22,2026,Jeremiyah Love,RB,ARI,268.6,278.8,258.6,22.6
2026-07-22,2026,Nico Collins,WR,HOU,234.3,249.4,219.1,23.4
2026-07-22,2026,Zay Flowers,WR,BAL,231.1,238.9,223.3,25.3
2026-07-22,2026,Tee Higgins,WR,CIN,232.0,218.4,245.7,27.1
2026-07-22,2026,Rashee Rice,WR,KC,233.7,269.8,197.6,27.4
2026-07-22,2026,Garrett Wilson,WR,NYJ,231.0,257.3,204.8,27.4
2026-07-22,2026,Josh Allen,QB,BUF,351.7,369.3,334.1,28.1
2026-07-22,2026,DeVonta Smith,WR,PHI,215.4,238.7,192.1,28.2
2026-07-22,2026,Josh Jacobs,RB,GB,257.0,273.5,240.5,28.4
2026-07-22,2026,Trey McBride,TE,ARI,255.9,251.6,260.1,28.9
2026-07-22,2026,Breece Hall,RB,NYJ,253.6,273.0,234.3,30.1
2026-07-22,2026,Kyren Williams,RB,LAR,222.8,232.2,213.4,32.8
2026-07-22,2026,Tetairoa McMillan,WR,CAR,227.2,238.6,215.8,33.0
2026-07-22,2026,Javonte Williams,RB,DAL,244.1,258.8,229.4,35.8
2026-07-22,2026,Brock Bowers,TE,LV,236.4,240.4,232.3,35.9
2026-07-22,2026,Terry McLaurin,WR,WAS,206.3,219.2,193.5,36.4
2026-07-22,2026,Ladd McConkey,WR,LAC,199.5,220.0,179.1,36.5
2026-07-22,2026,Cam Skattebo,RB,NYG,221.2,242.0,200.4,37.4
2026-07-22,2026,Travis Etienne Jr.,RB,NO,220.6,241.3,199.8,39.5
2026-07-22,2026,Davante Adams,WR,LAR,211.4,232.5,190.3,40.6
2026-07-22,2026,Jaylen Waddle,WR,DEN,215.2,212.9,217.5,41.1
2026-07-22,2026,Malik Nabers,WR,NYG,240.7,218.0,235.6,43.5
2026-07-22,2026,Emeka Egbuka,WR,TB,211.4,228.9,193.8,45.2
2026-07-22,2026,Luther Burden III,WR,CHI,203.1,205.9,200.3,46.1
2026-07-22,2026,Bucky Irving,RB,TB,209.9,216.6,203.3,46.2
2026-07-22,2026,Colston Loveland,TE,CHI,208.5,205.9,211.0,47.3
2026-07-22,2026,Joe Burrow,QB,CIN,318.3,304.0,332.7,47.6
2026-07-22,2026,D'Andre Swift,RB,CHI,201.0,211.7,190.4,47.7
2026-07-22,2026,Jameson Williams,WR,DET,203.9,208.6,199.2,48.7
2026-07-22,2026,Quinshon Judkins,RB,CLE,215.0,225.0,205.1,49.2
2026-07-22,2026,Mike Evans,WR,SF,181.5,184.8,178.2,49.3
2026-07-22,2026,Rome Odunze,WR,CHI,205.8,212.6,198.9,54.2
2026-07-22,2026,Tyler Warren,TE,IND,214.6,208.1,221.2,54.2
2026-07-22,2026,Lamar Jackson,QB,BAL,302.2,322.1,282.3,55.6
2026-07-22,2026,David Montgomery,RB,HOU,204.1,192.2,215.9,56.1
2026-07-22,2026,DK Metcalf,WR,PIT,192.0,195.1,188.9,56.8
2026-07-22,2026,TreVeyon Henderson,RB,NE,205.3,208.2,202.3,57.8
2026-07-22,2026,Dak Prescott,QB,DAL,290.5,285.9,295.2,59.3
2026-07-22,2026,Alec Pierce,WR,IND,189.5,202.8,176.3,59.7
2026-07-22,2026,Bhayshul Tuten,RB,JAX,186.7,204.8,168.6,60.4
2026-07-22,2026,Christian Watson,WR,GB,188.0,186.0,189.9,60.5
2026-07-22,2026,Carnell Tate,WR,TEN,199.5,211.2,187.9,62.1
2026-07-22,2026,Drake Maye,QB,NE,298.4,319.0,277.7,63.3
2026-07-22,2026,Marvin Harrison Jr.,WR,ARI,189.2,194.0,184.5,64.7
2026-07-22,2026,DJ Moore,WR,BUF,191.6,209.8,173.4,64.9
2026-07-22,2026,Jaylen Warren,RB,PIT,202.1,190.9,213.3,65.1
2026-07-22,2026,Harold Fannin Jr.,TE,CLE,182.9,187.2,178.6,69.1
2026-07-22,2026,Michael Pittman Jr.,WR,PIT,181.7,196.5,166.9,70.7
2026-07-22,2026,Rhamondre Stevenson,RB,NE,192.0,190.8,193.3,70.9
2026-07-22,2026,Courtland Sutton,WR,DEN,183.4,204.0,162.7,72.1
2026-07-22,2026,Tony Pollard,RB,TEN,182.4,189.6,175.2,72.3
2026-07-22,2026,Sam LaPorta,TE,DET,183.2,188.7,177.7,72.9
2026-07-22,2026,Tucker Kraft,TE,GB,165.3,162.1,168.5,73.0
2026-07-22,2026,Jadarian Price,RB,SEA,176.3,193.9,158.7,73.0
2026-07-22,2026,Parker Washington,WR,JAX,180.1,187.5,172.6,73.5
2026-07-22,2026,Patrick Mahomes,QB,KC,285.2,289.7,280.6,75.3
2026-07-22,2026,Rico Dowdle,RB,PIT,186.1,185.3,186.8,78.6
2026-07-22,2026,Chris Godwin Jr.,WR,TB,161.8,157.3,166.2,78.9
2026-07-22,2026,Chuba Hubbard,RB,CAR,194.5,184.8,204.2,79.1
2026-07-22,2026,Justin Herbert,QB,LAC,285.8,282.7,288.9,79.8
2026-07-22,2026,Michael Wilson,WR,ARI,175.4,167.3,183.5,81.8
2026-07-22,2026,Jordyn Tyson,WR,NO,176.6,188.3,164.8,83.7
2026-07-22,2026,Jayden Reed,WR,GB,167.9,170.9,164.9,84.0
2026-07-22,2026,Brian Thomas Jr.,WR,JAX,169.6,176.4,162.8,84.2
2026-07-22,2026,Kyle Pitts Sr.,TE,ATL,184.8,185.1,184.5,84.4
2026-07-22,2026,Josh Downs,WR,IND,172.1,164.8,179.4,85.0
2026-07-22,2026,Trevor Lawrence,QB,JAX,282.4,287.4,277.4,85.3
2026-07-22,2026,Jayden Daniels,QB,WAS,298.4,318.5,278.3,85.5
2026-07-22,2026,Wan'Dale Robinson,WR,TEN,169.6,174.2,165.1,89.1
2026-07-22,2026,RJ Harvey,RB,DEN,166.6,166.9,166.4,89.8
2026-07-22,2026,Aaron Jones Sr.,RB,MIN,200.2,188.5,211.8,90.9
2026-07-22,2026,Jordan Addison,WR,MIN,170.1,170.4,169.9,93.0
2026-07-22,2026,Jared Goff,QB,DET,277.0,267.9,286.1,93.2
2026-07-22,2026,J.K. Dobbins,RB,DEN,165.5,171.4,159.7,93.4
2026-07-22,2026,Jalen Hurts,QB,PHI,310.0,320.3,299.7,93.7
2026-07-22,2026,SEA Defense,DST,SEA,134.9,120.5,150.1,94.9
2026-07-22,2026,Travis Kelce,TE,KC,185.9,176.8,195.0,95.7
2026-07-22,2026,Jakobi Meyers,WR,JAX,169.4,181.7,157.2,96.6
2026-07-22,2026,Quentin Johnston,WR,LAC,162.6,164.6,160.7,96.8
2026-07-22,2026,Xavier Worthy,WR,KC,178.4,172.6,184.2,98.1
2026-07-22,2026,Kenny Gainwell,RB,TB,165.3,172.2,158.4,99.6
2026-07-22,2026,Rachaad White,RB,WAS,164.1,174.5,153.7,100.7
2026-07-22,2026,Ricky Pearsall,WR,SF,155.9,165.3,146.5,100.7
2026-07-22,2026,DEN Defense,DST,DEN,130.1,130.7,134.6,100.9
2026-07-22,2026,Brock Purdy,QB,SF,293.3,293.1,293.4,101.3
2026-07-22,2026,Geno Smith,QB,NYJ,228.9,232.0,225.9,101.5
2026-07-22,2026,Khalil Shakir,WR,BUF,168.6,171.3,165.9,101.8
2026-07-22,2026,Matthew Stafford,QB,LAR,278.8,293.3,264.3,103.3
2026-07-22,2026,Romeo Doubs,WR,NE,168.0,170.8,165.1,103.3
2026-07-22,2026,Kyle Monangai,RB,CHI,172.2,176.2,168.2,105.5
2026-07-22,2026,Aaron Rodgers,QB,PIT,217.9,218.0,218.0,105.8
2026-07-22,2026,Makai Lemon,WR,PHI,153.4,173.1,133.7,106.6
2026-07-22,2026,George Kittle,TE,SF,169.8,189.6,134.1,107.0
2026-07-22,2026,LAR Defense,DST,LAR,138.1,123.3,152.0,107.1
2026-07-22,2026,Caleb Williams,QB,CHI,277.6,281.7,273.5,108.0
2026-07-22,2026,HOU Defense,DST,HOU,136.7,128.0,150.8,109.2
2026-07-22,2026,NE Defense,DST,NE,114.3,100.3,123.6,111.5
2026-07-22,2026,Matthew Golden,WR,GB,166.4,185.7,147.2,112.9
2026-07-22,2026,Jalen Coker,WR,CAR,154.4,148.2,160.6,114.3
2026-07-22,2026,Bo Nix,QB,DEN,283.5,294.7,272.2,117.6
2026-07-22,2026,Jake Ferguson,TE,DAL,166.9,167.2,166.7,117.7
2026-07-22,2026,KC Concepcion,WR,CLE,152.4,162.5,142.3,119.2
2026-07-22,2026,Blake Corum,RB,LAR,152.8,159.4,146.2,119.8
2026-07-22,2026,Jaxson Dart,QB,NYG,294.6,301.1,288.0,120.3
2026-07-22,2026,Jacoby Brissett,QB,ARI,211.0,199.8,222.1,120.5
2026-07-22,2026,Jayden Higgins,WR,HOU,151.8,141.5,162.2,121.4
2026-07-22,2026,Jacory Croskey-Merritt,RB,WAS,148.3,151.6,145.1,121.8
2026-07-22,2026,Jordan Mason,RB,MIN,137.3,129.8,144.8,125.6
2026-07-22,2026,Jonathon Brooks,RB,CAR,125.9,145.4,106.5,126.5
2026-07-22,2026,Dallas Goedert,TE,PHI,154.1,176.6,131.6,128.5
2026-07-22,2026,PHI Defense,DST,PHI,123.3,106.8,138.5,129.4
2026-07-22,2026,Kirk Cousins,QB,LV,46.1,46.1,0.0,129.8
2026-07-22,2026,Baker Mayfield,QB,TB,259.9,264.8,255.0,129.9
2026-07-22,2026,Brandon Aubrey,K,DAL,151.8,171.6,132.1,129.9
2026-07-22,2026,Jauan Jennings,WR,MIN,115.4,114.5,8.5,130.2
2026-07-22,2026,Rashid Shaheed,WR,SEA,140.5,144.4,136.7,130.5
2026-07-22,2026,Tyjae Spears,RB,TEN,137.4,149.1,125.6,130.7
2026-07-22,2026,JAX Defense,DST,JAX,106.4,81.1,122.2,131.0
2026-07-22,2026,Jordan Love,QB,GB,263.2,259.3,267.2,131.0
2026-07-22,2026,Mark Andrews,TE,BAL,160.6,169.5,151.8,131.2
2026-07-22,2026,Denzel Boston,WR,CLE,126.8,131.8,121.8,133.1
2026-07-22,2026,Omar Cooper Jr.,WR,NYJ,112.7,104.9,120.6,134.3
2026-07-22,2026,Tre Tucker,WR,LV,128.8,137.8,119.9,135.4
2026-07-22,2026,Jalen Nailor,WR,LV,127.5,114.9,140.1,135.5
2026-07-22,2026,Jerry Jeudy,WR,CLE,129.7,138.0,121.3,136.9
2026-07-22,2026,Isaiah Likely,TE,NYG,151.9,156.7,147.0,137.5
2026-07-22,2026,Dalton Kincaid,TE,BUF,156.3,155.6,157.1,137.5
2026-07-22,2026,Tua Tagovailoa,QB,ATL,118.8,114.5,123.1,138.1
2026-07-22,2026,DET Defense,DST,DET,113.9,108.2,119.7,139.1
2026-07-22,2026,Emari Demercado,RB,KC,53.3,63.5,43.1,140.0
2026-07-22,2026,Jason Myers,K,SEA,145.1,158.4,131.8,141.5
2026-07-22,2026,Jalen McMillan,WR,TB,120.9,132.8,108.8,141.9
